Tissue,Leaf,,,Leaf,,,Leaf,,,Root,,,Root,,,Root,,
Context,CG,,,CHG,,,CHH,,,CG,,,CHG,,,CHH,,
Total number of differentially methylated sites,84,,,69,,,"5,587",,,247,,,143,,,"6,295",,
Total unique genes listed,78,,,67,,,"4,337",,,238,,,134,,,"4,704",,
,Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p),Gene,Methylation difference (%),log10(adj-p)
,HORVU2Hr1G070490,-40.0,-1.72,HORVU2Hr1G034320,-66.0,-1.80,HORVU4Hr1G063910,92.7,-7.27,HORVU6Hr1G008550,35.2,-1.41,HORVU0Hr1G016720,30.0,-1.31,HORVU7Hr1G038690,94.4,-3.70
,HORVU3Hr1G010140,-40.5,-1.38,HORVU7Hr1G009770,-71.1,-2.53,HORVU2Hr1G000280,90.9,-2.90,HORVU2Hr1G127440,35.0,-1.38,HORVU4Hr1G087570,29.6,-1.63,HORVU2Hr1G010690,93.8,-3.35
,HORVU7Hr1G081220,-42.2,-1.40,HORVU3Hr1G050400,-73.7,-2.65,HORVU2Hr1G028190,90.9,-4.42,HORVU6Hr1G013290,34.8,-2.05,HORVU7Hr1G091400,29.2,-1.51,HORVU4Hr1G051810,93.8,-3.35
,HORVU5Hr1G064830,-43.3,-1.40,HORVU3Hr1G032660,-100.0,-2.55,HORVU2Hr1G089620,90.9,-2.61,HORVU2Hr1G003990,34.5,-1.44,HORVU4Hr1G018610,28.8,-1.45,HORVU4Hr1G067100,93.5,-8.00
,HORVU5Hr1G075400,-44.0,-1.93,,,,HORVU4Hr1G087670,90.9,-4.42,HORVU1Hr1G090670,33.3,-1.44,HORVU5Hr1G095060,28.8,-1.36,HORVU2Hr1G013370,93.3,-5.33
,HORVU7Hr1G049190,-49.1,-1.85,HORVU0Hr1G007540,,,HORVU3Hr1G016360,90.8,-9.90,HORVU6Hr1G000440,32.5,-1.78,HORVU2Hr1G088980,25.7,-1.34,HORVU2Hr1G001180,92.0,-3.11
,HORVU5Hr1G064830,-50.0,-3.57,HORVU0Hr1G040200,,,HORVU2Hr1G021700,90.1,-6.84,HORVU4Hr1G018610,31.7,-1.79,HORVU7Hr1G034080,25.3,-1.44,HORVU3Hr1G109250,91.8,-8.19
,HORVU5Hr1G026160,-54.5,-1.54,HORVU1Hr1G003140,,,HORVU2Hr1G001190,90.0,-2.17,HORVU3Hr1G020490,31.3,-2.73,HORVU7Hr1G023100,24.9,-1.73,HORVU2Hr1G083680,91.7,-2.52
,HORVU1Hr1G075780,-61.8,-3.97,HORVU1Hr1G013990,,,HORVU2Hr1G001690,90.0,-4.99,HORVU3Hr1G086610,30.9,-5.25,HORVU4Hr1G071600,24.7,-1.83,HORVU5Hr1G041030,91.7,-2.52
,HORVU2Hr1G012540,-61.9,-2.43,HORVU1Hr1G032310,,,HORVU6Hr1G072640,90.0,-3.79,HORVU5Hr1G096560,30.3,-1.87,HORVU0Hr1G010530,24.0,-1.40,HORVU7Hr1G070920,91.0,-3.60
,HORVU5Hr1G097670,-62.9,-1.58,HORVU1Hr1G092000,,,HORVU5Hr1G063530,89.4,-8.24,HORVU2Hr1G018430,29.5,-3.06,HORVU2Hr1G015940,23.8,-1.56,HORVU1Hr1G076210,90.3,-4.05
,HORVU6Hr1G008870,-64.3,-2.09,HORVU1Hr1G092110,,,HORVU6Hr1G065800,89.1,-3.58,HORVU3Hr1G038610,29.4,-2.58,HORVU0Hr1G018800,23.0,-2.31,HORVU1Hr1G056430,90.0,-5.55
,HORVU7Hr1G068410,-64.3,-1.31,HORVU2Hr1G008140,,,HORVU2Hr1G085060,88.6,-2.86,HORVU5Hr1G012770,29.3,-1.39,HORVU2Hr1G007170,22.8,-1.41,HORVU5Hr1G029910,90.0,-6.56
,HORVU7Hr1G103870,-69.2,-1.41,HORVU2Hr1G013700,,,HORVU6Hr1G069620,87.5,-6.04,HORVU1Hr1G035960,28.6,-2.35,HORVU2Hr1G031120,22.7,-2.92,HORVU2Hr1G028070,89.0,-4.09
,HORVU1Hr1G062730,-70.0,-1.31,HORVU2Hr1G024680,,,HORVU7Hr1G083440,87.5,-3.08,HORVU3Hr1G020900,28.6,-1.43,HORVU6Hr1G028620,22.5,-1.63,HORVU1Hr1G000250,88.9,-3.11
,HORVU3Hr1G013650,-72.8,-4.56,HORVU2Hr1G025510,,,HORVU5Hr1G085560,87.3,-3.97,HORVU0Hr1G010390,28.2,-1.43,HORVU7Hr1G006370,21.9,-1.34,HORVU2Hr1G071880,88.3,-9.51
,HORVU7Hr1G000040,-73.0,-2.13,HORVU2Hr1G034320,,,HORVU5Hr1G065240,86.1,-4.11,HORVU2Hr1G083430,28.0,-2.05,HORVU1Hr1G034400,20.1,-1.62,HORVU5Hr1G095020,88.3,-3.17
,HORVU3Hr1G031320,-92.3,-1.79,HORVU2Hr1G035080,,,HORVU1Hr1G070360,85.7,-3.07,HORVU1Hr1G086110,27.4,-1.65,HORVU2Hr1G091580,19.9,-1.73,HORVU1Hr1G053420,87.8,-5.31
,HORVU4Hr1G080050,-92.9,-1.61,HORVU2Hr1G056510,,,HORVU2Hr1G011070,85.7,-3.50,HORVU5Hr1G105780,26.7,-1.79,HORVU5Hr1G019370,19.2,-1.95,HORVU2Hr1G034470,87.6,-3.30
,,,,HORVU2Hr1G059320,,,HORVU2Hr1G045020,85.7,-4.78,HORVU3Hr1G013150,25.9,-1.39,HORVU2Hr1G031120,17.8,-1.84,HORVU2Hr1G105720,87.5,-3.05
,HORVU6Hr1G033380,,,HORVU2Hr1G060460,,,HORVU4Hr1G061060,85.7,-2.14,HORVU2Hr1G011070,25.7,-2.31,HORVU5Hr1G028110,17.7,-2.34,HORVU6Hr1G008870,86.7,-4.08
,HORVU6Hr1G011260,,,HORVU2Hr1G066890,,,HORVU7Hr1G079190,84.8,-2.51,HORVU7Hr1G006980,25.7,-2.10,HORVU4Hr1G022540,15.6,-1.51,HORVU2Hr1G042210,86.5,-6.67
,HORVU3Hr1G004480,,,HORVU2Hr1G085850,,,HORVU2Hr1G067110,84.8,-9.77,HORVU3Hr1G117400,24.6,-2.98,HORVU5Hr1G108810,14.8,-2.31,HORVU3Hr1G086970,85.7,-2.71
,HORVU7Hr1G040550,,,HORVU2Hr1G091580,,,HORVU1Hr1G002850,84.6,-2.03,HORVU5Hr1G056760,24.6,-1.44,HORVU2Hr1G073590,14.1,-1.35,HORVU5Hr1G101500,85.3,-9.49
,HORVU3Hr1G099160,,,HORVU2Hr1G099160,,,HORVU4Hr1G037800,84.6,-9.19,HORVU4Hr1G069790,24.3,-2.52,HORVU7Hr1G122600,12.2,-2.18,HORVU4Hr1G006720,85.0,-2.70
,HORVU1Hr1G010390,,,HORVU2Hr1G103130,,,HORVU6Hr1G067000,84.2,-4.98,HORVU7Hr1G120030,23.8,-1.36,HORVU6Hr1G039740,12.0,-1.63,HORVU4Hr1G004880,84.8,-2.93
,HORVU3Hr1G113890,,,HORVU2Hr1G108370,,,HORVU7Hr1G065330,83.7,-2.52,HORVU3Hr1G071480,23.6,-3.25,HORVU3Hr1G113280,10.7,-1.65,HORVU2Hr1G082840,84.6,-3.57
,HORVU5Hr1G079970,,,HORVU2Hr1G119310,,,HORVU1Hr1G090430,83.3,-4.90,HORVU1Hr1G021000,22.6,-1.45,HORVU5Hr1G039780,-10.6,-1.69,HORVU5Hr1G054640,84.6,-2.13
,HORVU4Hr1G070620,,,HORVU3Hr1G000590,,,HORVU2Hr1G088440,83.3,-3.13,HORVU3Hr1G028020,22.2,-1.34,HORVU3Hr1G081720,-12.0,-2.05,HORVU2Hr1G079820,83.9,-6.87
,HORVU3Hr1G095430,,,HORVU3Hr1G006760,,,HORVU3Hr1G113210,83.3,-4.90,HORVU7Hr1G008140,22.1,-1.62,HORVU5Hr1G086950,-12.3,-1.32,HORVU1Hr1G000170,83.3,-4.42
,HORVU7Hr1G120030,,,HORVU3Hr1G032660,,,HORVU6Hr1G029540,83.3,-1.50,HORVU5Hr1G112930,21.9,-1.65,HORVU4Hr1G065620,-12.5,-1.58,HORVU4Hr1G007530,83.3,-4.25
,HORVU7Hr1G103020,,,HORVU3Hr1G035730,,,HORVU7Hr1G117880,83.3,-2.30,HORVU2Hr1G126180,21.7,-2.20,HORVU3Hr1G117730,-13.3,-1.93,HORVU6Hr1G020020,83.3,-2.46
,HORVU2Hr1G122620,,,HORVU3Hr1G050400,,,HORVU4Hr1G038380,81.8,-2.70,HORVU5Hr1G016670,21.6,-1.64,HORVU2Hr1G081360,-14.3,-1.50,HORVU7Hr1G034220,83.3,-7.99
,HORVU2Hr1G013370,,,HORVU3Hr1G057330,,,HORVU7Hr1G044070,81.2,-3.64,HORVU2Hr1G018430,21.5,-2.09,HORVU2Hr1G012280,-14.6,-1.51,HORVU2Hr1G001190,82.8,-2.41
,HORVU6Hr1G001880,,,HORVU3Hr1G078300,,,HORVU2Hr1G038410,80.7,-3.26,HORVU2Hr1G031120,21.4,-1.45,HORVU1Hr1G078450,-16.7,-1.44,HORVU2Hr1G017680,82.8,-2.82
